


Date:Monday 8:00, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から本厚木を検索
Date:Wednesday 12:50, UserActionState:STABLE, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Wednesday 19:50, UserActionState:RUNNING, Location:ジム, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生


Date:Wednesday 12:30, UserActionState:STABLE, Location:会社, UsedApp:楽曲再生を使用し、RelaxMusicを再生

Date:Wednesday 19:00, UserActionState:RUNNING, Location:ジム, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生




Date:Thursday 8:20, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から大崎を検索

Date:Thursday 12:10, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索

Date:Thursday 12:30, UserActionState:STABLE, Location:会社, UsedApp:楽曲再生を使用し、RelaxMusicを再生

Date:Thursday 19:20, UserActionState:RUNNING, Location:ジム, UsedApp:楽曲再生を使用し、LinkedActionsModeを再生

Date:Thursday 12:01, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索


Date:Friday 8:00, UserActionState:WALKING, Location:玉川学園前, UsedApp:経路検索を使用し、玉川学園前から本厚木を検索

Date:Friday 10:50, UserActionState:STABLE, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Friday 12:05, UserActionState:WALKING, Location:会社, UsedApp:レストラン検索を使用し、現在地周辺を検索

Date:Friday 13:50, UserActionState:WALKING, Location:会社, UsedApp:会議情報を使用し、次の会議室の場所を確認

Date:Friday 17:30, UserActionState:WALKING, Location:本厚木, UsedApp:経路検索を使用し、本厚木から玉川学園前を検索

Date:Friday 18:00, UserActionState:WALKING, Location:本厚木, UsedApp:経路検索を使用し、本厚木から玉川学園前を検索


