user,assistant
"The current date and time is 9:10:00, the current user action status is STABLE, and the status of the surrounding environment is 'TRAIN'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 12:08:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Restaurant Search and have needs like finding nearby restaurants."
"The current date and time is 14:00:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 19:35:00, the current user action status is RUNNING, and the status of the surrounding environment is 'GYM'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 19:25:00, the current user action status is RUNNING, and the status of the surrounding environment is 'GYM'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Music Playback and have needs like listening to music."
"The current date and time is 8:15:00, the current user action status is WALKING, and the status of the surrounding environment is 'OUTDOORS'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Route Search and have needs like searching for routes."
"The current date and time is 9:57:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 10:55:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
"The current date and time is 12:08:00, the current user action status is WALKING, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Restaurant Search and have needs like finding nearby restaurants."
"The current date and time is 14:55:00, the current user action status is STABLE, and the status of the surrounding environment is 'OFFICE'. In this case, only sentences that describe the user's situation in as much detail as possible are predicted and generated.","Users are doing Meeting Info and have needs like checking the next meeting details."
